,comments,date
0,"$IHSG
rahasia rahasia 😂😁
$AALI $ZYRX","15 Dec 22, 09:02"
1,"$JARR bakal jadi multi bagger ke depan nya nih
Banyak proyek .. sawit , bio diesel , minyak goreng
laporan kuartal di 2023 pasti melonjak lagi

$GOTO $MKTR $AALI
https://cutt.ly/e0xuCYN","14 Dec 22, 22:25 · Edited on 14 Dec 22, 22:34"
2,"the best CPO stocks sptnya $DSNG ?

$LSIP $AALI $TBLA $CSRA kalah pertumbuhan EPS nya yah🧐

🌴🌴🌴

nyesel di 480-500 gak ambil mesti sempat analisa 😥","14 Dec 22, 21:21 · Edited on 14 Dec 22, 21:21"
3,"@bamzat gan emiten cpo gimana prospek nya? Tolong dibully sepi pengunjung soalnya 🤣🤣

Yg jago memekkan ditunggu kreasi nya

$TAPG $AALI $LSIP $CSRA $GZCO","14 Dec 22, 20:09"
4,$AALI,"14 Dec 22, 17:28"
5,"Harga komoditas sedang dalam penurunan walaupun masih diatas rata-rata.

$ADRO $MEDC $AALI $ITMG $ELSA","14 Dec 22, 14:52"
6,"Huffttt.... astagfirullah $ACES $PTPP after before $AALI $ASII just try to keep smiling, loss is not east but have to","14 Dec 22, 14:49"
7,"@joshtan asikk dagangku ada yg minat

$AALI $LSIP $tpag $ELSA $SMDR","14 Dec 22, 13:05"
8,"$IHSG $AALI $ZYRX
RAHASIA BANG","14 Dec 22, 11:20"
9,$AALI $LSIP ☢️🔥☢️🔥,"14 Dec 22, 09:01"
10,"@wahyuistianto masih, saya jual minyak 32rb ampe 38rb. sunco 38 sd 40rb. $LSIP $AALI $ADMR $BSSR $GOTO","13 Dec 22, 22:10"
11,"$NANO di emiten ini? ogahh..

duit ku bagusan di perusahaan bermutu $BNGA $AALI, $BDMN

duit bukan daun, percaya ke manajemen yg sudah terbukti,

nano nano ini perusahaan utk sikat uang ritel, bukan bener2 jalani bisnis. $NANO","13 Dec 22, 13:45"
12,"yang enak belum tentu sehat
yang sehat belum tentu enak
karna hidup adalah pilihan
dan aku memilih ngopi!☕️

$ASII
$AALI
$MPMX
$HEXA","13 Dec 22, 09:52"
13,"@siahmad larang impor produk hasil deforestasi 🤣🤣🤣
Eropa jokes melulu.
Indonesia stop ekspor nikel, Eropa ngambek.
Emangnya itu $ANTM $INCO buka lahan nikel ndak lakukan deforestasi seperti $AALI $LSIP $TAPG buka lahan CPO?
Jokes banget Eropa.
Pantesan aja @antotyas marah - marah sama Eropa. 🤣🤣🤣","13 Dec 22, 05:40"
14,"$AALI buruan jual.gaes sebelum harga nyungsep ke 6rebu - 5 rebu ini saham bagusnya Buy on breakout kalau udah di atas 9.500 atau di atas 10.000 kalau udah breakout arahnya ke 12 rebu

kalau di harga skrg mah sideway php kadang malah bisa nyungsep dibawah menyelam ke dasar samudera 🤣🤣🤣","12 Dec 22, 11:43 · Edited on 12 Dec 22, 13:51"
15,"$ISAP hati2 bandar dan ritel jangan terlalu dibawa terjun ke bawah, nanti kesulitan mengangkatnya. sudah saatnya naik atau akan sepi pembeli. ingat ndar, tuh memancing pembeli datang juga butuh modal yang besar.

tag
$ASII $AUTO $ASGR $AALI","12 Dec 22, 11:24"
16,$AALI,"11 Dec 22, 17:09"
17,watchlist $AALI,"11 Dec 22, 01:41"
18,$AALI $ANJT $LSIP $SMAR $SGRO dan saham2 sawit lainnya😌,"10 Dec 22, 11:53"
19,"Portfolio Saham - Floating Profit / Loss: 10 Desember 2022 (12 saham)
$IHSG
$AALI -31,96%
$AUTO 25,98%
$BEST 6,33%
$BIRD 17,06%
Portofolio Saham (NO SENSOR Lot & Rupiah): https://cutt.ly/R0ugnpN","10 Dec 22, 10:21"
20,$AALI untung dah jual dari kemaren yok turun siap nampung,"9 Dec 22, 09:43"
21,"Buat yg hold $ASII mah gak usah khawatir. Mau $GOTO besok pailit juga gak akan ngaruh banyak anggap saja uang ""sedekah"" hehehe.

Sekarang itu industri yang dipegang ASII sedang naik daun semua, mulai dari batubara dengan $UNTR nya, otomotif dengan $AUTO nya, sawit dengan $AALI nya, dan lain sebagainya.

Sebentaran juga bakal balik ke 6500an minimal. Percaya deh. Makanya kemarin saya bilang ASII itu wonderful company yg lagi kena diskon flash sale 12.12, dan selamat bagi yang kemarin nyerok 😁🙏🏻","9 Dec 22, 09:23"
22,"$WMUU

siap2, pemilik masih akan buang ke retail ratusan M ke Retail dan pasar,

karena background sesungguhnya pemilik bukan pebisnis

Rp 50 menanti,

cari emiten yg waras, cut loss bukan memalukan

ada ,
yang masih bagus2 dan bener2 pelaku bisnis yg jujur.","8 Dec 22, 22:43"
23,$AALI yok jemput 8172 🥳,"8 Dec 22, 14:32"
24,$AALI yok 12000🚀🚀🚀,"8 Dec 22, 10:55"
25,$LSIP approaching 1.000 angka psikopat sama support panah biru beberapa tahun terakhir. sementara bulan Desember ini Futures $CPO -5.62% di detik gue ngepost. ada yang mau angkut buat investasi tahun depan? $AALI $IHSG,"8 Dec 22, 10:32"
26,"$AALI nyampe kan, perhatiin sentimen lokal sama global. Dibawah 8k udah cukup nyaman si kalo mau akum dgn ttp perhatiin teknikal","8 Dec 22, 09:35"
27,"@wildanpart2 izin bertanya, kalo $CPO bagaimana prediksi nya 6 bulan ke depan? Colek $AALI $STAA $DSNG","8 Dec 22, 07:54"
28,"$AALI sudah < 8.000 aja 🧐

kmrnan < 10.000 sdh murah

ini??

sektor sawit sepi kali🌴🌴🌴","7 Dec 22, 17:03"
