,comments,date
0,"$IHSG $ASII $MNCN $TLKM $JPFA uda 1 bulan ngak posting di stockbit,.,,, 😅😅😅
tuh ada info dikit barang barang yang menarik buat di pantau ya....
kalo dah cocok harganya hajar,,,,
kalo ngak cocok anggap angin berlalu aja ok.... 😅😅😅
CUMA INFO DOANG...
1. BUKAN TUJUAN BAGI STOCKPICK
2. BUKAN TUJUAN NGAJAK MASUK GROUP
3. BUKAN TUJUAN SURUH FOLLOW STOCKBIT ATAU IG ATAU YOUTUBE.
semoga makin banyak member stockbit yang posting sesuatu tanpa ada tujuan apapun..
(apa ada ya yg kayak gitu,,,, bukan nya rata rata suruh follow stockbit,ig atau youtube ya atau masuk group ya...) kasih jawaban sendiri ya..... 😁😁😁","15 Dec 22, 19:43"
1,"POLL
$SCMA Argentina akhirnya dipertemukan dengan Perancis di final Piala Dunia 2022. Final yang tentunya lebih seru dibanding Piala Dunia 2018.

Sudah banyak penggemar sepakbola tahu bahwa Mbappe merupakan fans dari CR7. Sementara LM10 merupakan rekan satu klub Mbappe di PSG.

Cukup menarik melihat akan banyak fans dari CR7 yang tentunya berharap LM10 akan gagal memenangkan piala dunia dan akan cenderung menjagokan Perancis.

Karena apabila Argentina berhasil jadi juara pastinya gelar GOAT atau Greatest of All Time akan lebih layak disematkan kepada LM10.

Jadi siapakah yang akan jadi Juara? Argentina atau Perancis ?

tag saham yang ytd belum perform","15 Dec 22, 14:14"
2,"harga telur +30% yah akhir tahun?

$MAIN $JPFA $CPIN

sudah waktunya?","14 Dec 22, 16:32"
3,"Wah besok kalau ARB 1x lagi menarik banget nih $PTPP , apalagi PBV nya udah 0.2 kalau ARB besok. Boleh nih TP sedikit $MEDC lalu pindahin ke $PTPP . Lagi kena isu buruk konstruksi jadi boleh nih masuk watchlist

Dan $GOTO akhirnya ARB lagi , apakah berlanjut lagi 2 sampe 3x lagi Arb nya?

Kalau $JPFA ama $LPPF mah tiap natal tahun baru biasannya bakal naik emiten nya , biasannya mulai tanggal 21 an ampe tahun baru 😁","14 Dec 22, 14:15"
4,"$JPFA harga ayam naik nih, gmna, mau berkokok apa tidur lagi...!","14 Dec 22, 07:57"
5,"$WMUU
Three White Soldiers!?

Semoga aja gak fake 😁🤫.

Take Profit 105-110+!

Take Profit Swing 115-120+!

next 133-136+!

disclaimer on","13 Dec 22, 23:14"
6,$JPFA $INKP $BBTN $ERAA - MM nya sdg kerja bareng dulu di $GOTO,"13 Dec 22, 09:56 · Edited on 13 Dec 22, 10:07"
7,"IHSG Melaju Tinggi, Cek Saham ADRO, INKP, dan INTP
Indeks Harga Saham Gabungan (IHSG) berpeluang menguat pada perdagangan hari ini Selasa (13/12/2022). Adapun saham ADRO, INKP, INTP, dan JPFA mendapat rekomendasi.Analis RHB Sekuritas Indonesia Muhammad Wafi dalam riset hariannya menyebutkan IHSG akan bergerak pada rentang 6.625 hingga 6.872.IHSG be...","13 Dec 22, 09:10"
8,"Ges....

Saya mulai belanja...

https://cutt.ly/u0gEul8

$BBRI $BBCA $ASII $JPFA $GOTO","13 Dec 22, 08:11 · Edited on 13 Dec 22, 08:35"
9,"$JPFA $CPIN $CPRO $WMUU

Q4 biasanya revenue naik. Cocok di collect nih","13 Dec 22, 07:52"
