,comments,date
0,$PANI,"15 Dec 22, 21:20"
1,$PANI Gmna om,"15 Dec 22, 15:38"
2,$PANI dibetot lagi sampah emang,"15 Dec 22, 15:17"
3,$PANI asemmm bad dayy lagi 😭😭😭,"15 Dec 22, 15:04"
4,"$CHEM-W makasihhh....

bgini ya bocil2 scalper, nyari cuan yg volume gedee jgn yg kecil volumenya kek $PANI
😂 😆","15 Dec 22, 14:20"
5,$PANI mana nih yg kmrn pasang 50 rb lot di 1000 kok gk masang lagi?,"15 Dec 22, 11:53"
6,"$PANI good day kasih hijau pekat donk hari Kamis , Krn Jumat udah pasti merah diatasi 2 persen","15 Dec 22, 11:08"
7,$PANI kapan 1800 lagi yak huhu,"15 Dec 22, 10:48"
8,$PANI APA KABAR ? APAKAH MASIH SEHAT?,"15 Dec 22, 10:08"
9,"inilah kenyataan $CHEM

⚽ $ZATA ⚽ $MARI ⚽ $BOLA $PANI ⚽","15 Dec 22, 09:57"
10,"hallooo bocil scalper $PANI gak bisa liat orderbook? baru 40 juta rupiahhhh...masihhh aja scalping disini??? cepet tobattt boss...banyak yg rame, gue ake lagi maen di $WAPO jam segini value udah 4 Milyar.

disc on
#gak ngajak jual beli saham apapun","15 Dec 22, 09:13"
11,$PANI,"15 Dec 22, 08:36"
12,"akhirnyaa om Powell naikkk terossss...yukkk gasss sampe 7% baru 4.5% nih om Powell sd Des 2022
😂
tinggal nunggu realease BI Rate. sektor apa aja yg kena dampak di IDX?

Berkurangnya cheap money semakin nyata.

Tetap investasi di leher keatas & hati2 penipuan ya gaeeesss

random tag","15 Dec 22, 07:03"
13,makan $ROTI dtemenin sama neng $INDY dan neng $PANI yang wanginya $HRUM ....rasanya $ENAK sekali...,"14 Dec 22, 20:51"
14,$PANI manipulasi closing bid offer again. Bid diisi tp close offer & ga bisa habis,"14 Dec 22, 15:22"
15,"$PANI Senin good day , Selasa bad day , Rabu bad day , Jumat bad day
tinggal Kamis","14 Dec 22, 14:36"
16,$PANI,"14 Dec 22, 14:24"
17,yuukkkkkk bisa yuukkkkkk 815 Ndarrrrrrr 😜 $PANI,"14 Dec 22, 14:14 · Edited on 14 Dec 22, 14:31"
18,$PANI hmm 16 hari lagi ya guys 😀😀,"14 Dec 22, 13:47"
19,$PANI hai para Ritel... jauhi saham truk sampah ini...... semoga ARB selama 2 bulan...,"14 Dec 22, 13:31"
20,"$PANI cabut donk ndar offer 1000 nya , sakit perut liatnya","14 Dec 22, 13:28"
21,"$PANI kapan naeknya ini, betah bbet di 995 😣😣😣","14 Dec 22, 12:49"
22,"$PANI offer 50ribu lot? wkwkwk
Dia mau pindah ke penajam, Balikpapan, kaltim wkwkwk
perlu duit buat beli tanah di situ dapat lebih banyak dan lebih murah bisa naik berlipat-lipat wkwkwk","14 Dec 22, 10:35"
23,$PANI fiks rabu bad day,"14 Dec 22, 10:18"
24,$PANI bubar buat aja ah malas liat offer di 1000,"14 Dec 22, 10:17"
25,$PANI makin remek,"14 Dec 22, 09:50"
26,$PANI yang jemur 50 rebu lot di 1000 harusnya tahu tidak bakal ada yang mau makan barang segitu apalagi pani bukan saham likuid......yang beli 50 rebu juga mikir kali mau jualnya gimana.......,"14 Dec 22, 09:40"
27,@Saba1974 tak ada broker retail yg meramaikan di $PANI kah?,"14 Dec 22, 09:37"
28,$PANI waduhh...ada offer 5rb cuma freq 2 aja? yg buang siapaa nihh? 😂 atau nakutin aja? atau mau distribusi?,"14 Dec 22, 09:26"
29,$PANI asemm barang sapa itu di 1000,"14 Dec 22, 09:25"
30,$PANI yukk yukk ndar hari Rabu good dayy,"14 Dec 22, 08:39"
31,$PANI LK keluarnya tahun depan aja nanggung 😁,"13 Dec 22, 22:11"
32,"$ARNA

$BELI $GOOD COM $PANI

Project ABUN = asal beli ujung2nya nyangkut","13 Dec 22, 17:54"
33,$PANI Selasa bad day 😭😭,"13 Dec 22, 15:15"
34,$PANI Beli $GOTO enak lepas arb langsung cuan likuid lagi no fake,"13 Dec 22, 14:57"
35,bersama legenda hidup pasar modal koh Andry Hakim kita kaya bareng cok! haka! $PANI $ISAP $ARTO $GOTO $IHSG,"13 Dec 22, 13:52"
36,$PANI yuk bisa yuk kamu PANI sesuin 2 good day pliss 👍🏻🙏🏻🙏🏻,"13 Dec 22, 12:31"
37,$PANI 17 hari lagi nie guys,"13 Dec 22, 11:14"
