date,comment,symbol
"19 Dec 22, 09:46",Owner $PANI,PANI
"18 Dec 22, 20:55 · Edited on 18 Dec 22, 21:05","$SLIS $PANI $BEBS $BUMI

Kenapa CBUT bisa BAGGER ??? karna ROE nya ngeri 170 % .. ROE itu kalau besar pada masa nya akan memperbaiki kinerja perusahaan dan laporan keuangan cepat lambat

avg 200an masih Segaaaaarrrrrr",PANI
"18 Dec 22, 20:55",$PANI,PANI
"18 Dec 22, 20:54 · Edited on 19 Dec 22, 07:15",$PANI holdernya kasihan masih harap balik ke 2.000 😁,PANI
"18 Dec 22, 15:12","$PANI kalau PANI mau lebih banyak di minati .. tolong buat broker2 sekuritas .. profil nya Pani itu di ubah atau di tambah dengan proyek properti ..
uda di akusisi pun belum di ganti profil nya .. asik kaleng2 sama perikanan aja yg nongol . lontong2 ..",PANI
"18 Dec 22, 14:56","setiap minggu ada progress, tapi ini piyee bocil2 scalper seneng bangettt maen2 di $PANI? 🤣 😂

ngelirik-lirik dulu ah, emiten laen.
$MMIX $ISAP $EXCL $SSMS

disc on
#gak ngajak jual/beli lhoo yaa ..

😂 😆",PANI
"18 Dec 22, 14:18","Jendral Sudirman sudah berdiri, bentar lagi investasi naik berkali lipat 🔥 $PANI",PANI
"18 Dec 22, 10:45",$PANI hmmmmm...... berapa hari lg laporan keuangan keluar???? berapa bln lg right issue alan terjadi????,PANI
"17 Dec 22, 12:17",$PANI tumben forumnya jadi sepi sekarang 😁,PANI
"16 Dec 22, 21:06 · Edited on 16 Dec 22, 21:11",$MMIX kata pak lo kheng hong cari saham yg salah harga .. ini MMIX seoerti nya salah harga ini .. fundamental baik .. ROE nya seperti ROE saham blue chip ..PBV nya murah .. DER nya mantap .. LABA nya Gede banget .m perusahaan tersebar di seluruh indonesia .. proyek ke depan nya bakal di kembangkan utk produk2 lain nya .. dan pemegang brand ternama korea .. mantap ini dia saham yg buat investasi panjang ..harus nya Harga IPO nya sama kayak CBUT ini malah murah ini mah MMIX salah harga ..serok sebelum terlambat jadi multi bagger ... Next mutli bagger bisa ke 2000an ini asal sabar aja ..prospek cerah perusahaan besar ..bukan kaleng2 $PANI $EURO $BBRI,PANI
