,comments,date
0,$SGRO $SMAR $LSIP Saham CPO andalanque.,"14 Dec 22, 09:40"
1,"panggilan RUPSLB $TBLA

apakah akan berefek ke harga saham emiten itu?

bagaimana rekam jejak emiten yg ngelakuin RI dengan harga pelaksanaan yg lebih rendah drpd harga sahamnya?

random tag: $SIMP $LSIP $BUDI $SMAR","13 Dec 22, 11:54 · Edited on 13 Dec 22, 11:56"
2,$AALI $ANJT $LSIP $SMAR $SGRO dan saham2 sawit lainnya😌,"10 Dec 22, 11:53"
3,"@EbitRidwan Iya $SIMP salah satu consumer goods yg masih murah dan kinerja lumayan bagus, dibanding $TBLA yg cash flow operatingnya minus 900 milliar dan lbh likuid dibanding $SMAR","7 Dec 22, 19:59 · Edited on 7 Dec 22, 19:59"
4,"Buat yang mau coba cari, bisa utak-atik screener Stockbit ya.

Saya coba-coba sih sesuaiin dengan kriteria yang disebut (dengan sedikit penyesuaian), beberapa saham yang termasuk kriteria:

$MPMX $ADMF $SMAR $PANS $BJTM

Disclaimer: bukan rekomendasi jual/beli yaaa","7 Dec 22, 14:06"
5,Laporan Bulanan Registrasi Pemegang Efek [SMAR],"7 Dec 22, 10:10"
6,"$SMAR fundamental nya bagus, termasuk sahah yg diskon, tpi knpa bid n ask nya dikit?","5 Dec 22, 12:34"
7,"$SSMS

sawit sumbermas sarana tbk adalah perusahaan minyak kelapa sawit yg berlokasi di pangkalan bun kalimantan tengah. perusahaan ini selain memiliki perkebunan jg memiliki pabrik utk mengolah minyak sawit tsb..

saya tertarik untuk membahas soal perusahaan ini yang digadang gadang bahwa tahun depan sektor komoditi akan bisa menjadi salah satu sektor yang memiliki harapan utk bertumbuh dengan baik, tentunya SSMS ini termasuk di dalamnya.

dilihat dari kinerja secara fundamental perusahaan ini cukup baik kinerjanya dalam bbrp tahun terakhir dan peluang utk growth juga masih terbuka di tahun depan..

dengan revenue yg meningkat sebesar 38% dan net income yg naik cukup bail sebesar 51% dan masih ada ruang bertumbuh maka kita tdk bs mengesampingkan SSMS tsb.

hutang perusahaan tsb jg tercatat cukup rendah dan arus kas operasional jg tercatat positif, walaupun secara harga saham SSMS ini sdh tdk bs dikatakan murah tapi krn masih ada peluang bertumbuh tentunya harga sahamnya masih bs naik.

utk yg ingin hold mid term jg tdk perlu khawatir krn SSMS ini tercatat cukup rajin membagikan dividen bahkan di tahun ini tercatat 2 kali mereka membagikan dividen

menurut saya perusahaan ini bs dikatakan growth company.. utk yg tertarik berinvestasi di bidang komoditi maka SSMS ini bs menjadi salah satu pilihan para smart investor..

DYOR
Disclaimer on

random tags

salam

FN","3 Dec 22, 12:56"
8,$SMAR,"1 Dec 22, 07:19"
9,"$LSIP Valuasi murah, terlalu murah bahkan. Harga sekarang, marcap 7,4T, uang kas + deposito total 3,7T alias diskon 50%. belum lagi labanya yg kalau disetahunkan, tahun ini bisa mencapai 1T lebih. Selain itu, perusahaan ini juga tidak memiliki hutang berbunga, dan memiliki histori pembagian dividen sebanyak 20-40% dari labanya. Semoga ada dividen jumbo tahun depan. Hehe..

Yg jadi masalah adalah tanaman sawitnya tua-tua, peyot, sudah keropos awkoawkowa. Bayangkan saja, tanaman yg usianya diatas 20tahun, jumlahnya 40% dari total lahan tertanam sawit. Parah emang nih.. Efeknya ya penurunan produksi CPO dari tahun ke tahun.

Datanya, volume produksi CPO :
tahun 2019 adalah 398 ribu ton.
tahun 2020, 330 ribu ton.
Tahun 2021, 306 ribu ton.
Dan sampai semester I 2022, cuma 127 ribu ton! Ckckck...

Ya otomatis volume penjualan turun juga donk.
Tahun 2019, volume penjualan 417 ribu ton,
tahun 2020, 324 ribu ton,
tahun 2021, 318 ribu ton,
semester I 2022, cuma 108 ribu ton. Waduuhh.....

Dan pukulan terakhirnya, harga CPO global sudah turn 9,7% sepanjang tahun ini, bahkan sudah turun sebesar 40% dari level tertingginya di 7000! Gimana? Suram ngga tuh?

Apa bagusnya nih barang? Untungnya lagi peremajaan, sawit yg tua-tua, katanya mau diremajain lagi, mau diganti yg mulus-mulus, yg sedap dipandang, yg masih kencang. Semoga saja produksi pulih lagi deh.. Kasian yg nyangkut.. Hikz..","29 Nov 22, 20:38"
10,"Raih Proyek dari SMAR, Laba Paramita Bangun (PBSA) Melesat 165 Persen di Kuartal III
PT Paramita Bangun Sarana Tbk (PBSA) hingga kuartal III-2022 mencatatkan laba bersih Rp101,52 miliar atau melonjak 165 persen dibanding periode sama tahun 2021 yang hanya mencapai Rp38,248 miliar.
 
Dalam laporan keuangan kuartal III 2022 tanpa audit emiten kontraktor bangunan itu yang di s...","29 Nov 22, 17:10"
11,"Mencoba belajar analisa Laporan Posisi Keuangan
#CMIIW
Sisi Aset :
Kalo Kas yang pasti di lihat adalah pertumbuhanya
Kalo Piutang harapanya sebagian besar piutang akan terealisasi dalam waktu dekat, dan umurnya tidak panjang
Kalo Persediaan harapanya sudah terealisasi menjadi Piutang/Penjualan dan pergerakanya cepat
Aset Tetap yang dilihat adalah penambahan dan penguranganya, apasih yang di jual dan dibeli dibanding periode sebelumnya, apakah ada pembelian atau penjualan yang termasuk CAPEX

Sisi Hutang :
Berapa pertumbuhan Hutangnya
Lebih banyak Hutang Bank atau Hutang Usaha
Berapa lama Hutangnya
Lihat kemampuan Perusahaan melunasi Hutangnya

Sisi Ekuitas :
Dilihat penambahan Ekuitas
Dari mana asal penambahan Ekuitasnya
Jika ada penguranganya Ekuitas, transaksi apa yang telah terjadi

Mohon tambahanya dari para suhu

Random Tag","24 Nov 22, 08:16 · Edited on 24 Nov 22, 08:27"
12,"$MKTR gimana nih auto terbang 😂
$ANJT $SMAR","20 Nov 22, 19:51"
13,Kenapa sama2 grup Sinarmas tapi kebijakan dividen nya beda $DMAS $GEMS $SMAR vs $TKIM $INKP BSIM,"20 Nov 22, 14:01"
14,"Update logo emiten di @Stockbit kalau tidak salah mulai pertengahan agustus 2022, dari 800+ emiten, ada logo yang paling banyak digunakan yaitu logonya group sinarmas
1. $DSSA (Dian Swastatika Sentosa Tbk) [P] : PT SINAR MAS TUNGGAL (59.9%)

2. $GEMS (Golden Energy Mines Tbk) [P] : GOLDEN ENERGY AND RESOURCES LIMITED (62.49%)

3. $INKP (Indah Kiat Pulp & Paper Tbk) [ P] : PT PURINUSA EKAPERSADA (53.25%)

4. (Sinar Mas Multiartha Tbk) [P] : PT SINAR MAS CAKRAWALA (54.52%)

5. (Sinar Mas Agro Resources and Technology) [P] : PT PURIMAS SASMITA (92.4%)

6. TKIM (Pabrik Kertas Tjiwi Kimia Tbk) [P] : PT PURINUSA EKAPERSADA (59.67%)

7. BSIM (Bank Sinarmas Tbk) [P] : PT. SINARMAS MULTIARTHA TBK (59.99%)","19 Nov 22, 20:25"
15,@ardhatopan $GEMS atau $SMAR sama2 grup Sinarmas tapi kenapa 2 perusahaan ini dividen nya jumbo,"18 Nov 22, 11:42"
16,$SGRO $SMAR CPO’s dynamic duo.,"17 Nov 22, 19:06"
17,"Berikut daftar 20 badan usaha pemasok dengan masing-masing kuota biodieselnya, dikutip dari Data Kementerian ESDM 2019:
https://cutt.ly/MMkWNJo
https://stockbit.com/post/10092753

1. PT Batara Elok Semesta Terpadu, 273.274 kl
2. PT Bayas Biofuels, 349.180 kl
3. PT Cemerlang Energi Perkasa, 483.263 kl
4. PT Ciliandra Perkasa, 259.882 kl
5. PT Dabi Biofuels, 173.974 kl
6. PT Darmex Biofuels, 116.517 kl
7. PT Energi Unggul Persada, 318.953 kl
8. PT Intibenua Perkasatama, 287.944 kl
9. PT Kutai Refinery Nusantara, 398.979 kl
10. PT LDC Indonesia, 386.610 kl
11. PT Multi Nabati Sulawesi, 392.996 kl
12. PT Musim Mas, 882.530 kl
13. PT Pelita Agung Agriindustri, 218.618 kl dan 239.215 kl.
14. PT Permata Hijau Palm Oleo, 396.793 kl
15. PT Sinarmas Bio Energy, 364.700 kl
16. PT SMART Tbk, 352.782 kl
17. PT Sukajadi Sawit Mekar, 261.767 kl
18. PT Tunas Baru Lampung Tbk, 342.311 kl
19. PT Wilmar Bioenergi Indonesia, 1.324.226 KL
20. PT Wilmar Nabati Indonesia, 1.375.486

TOTAL, 20 badan usaha, 9.200.000 kl

Disclaimer:","13 Nov 22, 18:23"
18,"Skydrugz Corner: Perbandingan Laba dan Luas Lahan Tertanam Emiten Sawit CPO

Ini merupakan lanjutan dari postingan sebelumnya tentang CPO

1. Laba Emiten CPO https://cutt.ly/AMh9qdF
2. Perbandingan luas lahan sawit tertanam http://bit.ly/3EsrhFE

Di postingan kali ini kita akan bahas perbandingan laba dengan luas lahan tertanam emiten CPO. Jika ingin belajar tentang sawit maka bisa baca bukunya Pak Soepadiyo tentang manajemen agrobisnis sawit

Mengapa kita harus membandingkan laba dengan luas lahan tertanam? Itu agar kita bisa tahu seberapa efektif sebuah perusahaan sawit dalam memanfaatkan luas lahan untuk menghasilkan laba.

Selengkapnya:
Disclaimer:







Sebagai peringatan untuk tidak pernah memberikan akses Username dan Password Online Trading kepada orang yang tidak dikenal agar tidak terjadi kasus Jouska jilid 2.","13 Nov 22, 15:52"
19,Penjelasan atas Volatilitas Transaksi [SMAR],"11 Nov 22, 16:40"
20,$SMAR wih terbang,"10 Nov 22, 11:00"
21,Laporan Bulanan Registrasi Pemegang Efek [SMAR],"9 Nov 22, 15:50"
