,comments,date
0,"$SSMS 13 Dec 22
Shareholder : Maybank Singapore
Type : Foreign
Bought : +4,416,981 (+0.04%)
Current : 485,136,754 (5.09%)
Previous : 480,719,773 (5.05%)","15 Dec 22, 09:30"
1,"Anak Usaha SSMS (CBUT) Cetak Bagger Sebulan Usai IPO, Kok Bisa?
https://bit.ly/147E996, JAKARTA — Saham PT Citra Borneo Utama Tbk (CBUT) membukukan bagger kurang dari sebulan sejak IPO.Anak usaha PT Sawit Sumbermas Sarana Tbk. (SSMS) naik 118,11 persen ke level Rp1.505 per saham pada penutupan, Rabu (14/12/2022. Adapun pada penawaran perdananya saham CBUT di lepas pada ha...","15 Dec 22, 06:26"
2,Perubahan Komite Audit [SSMS],"15 Dec 22, 03:40"
3,"JAKARTA, https://cutt.ly/H0xp1zp - Harga kontrak Crude Palm Oil (CPO) di Bursa Malaysia Derivatives berbalik menguat pada perdagangan Selasa (13/12/2022). Setelah mengalami penurunan pada perdagangan Senin (12/12/2022).

Berdasarkan data Bursa Malaysia Derivatives pada penutupan Selasa (13/12/2022), kontrak berjangka CPO untuk pengiriman Desember 2022 stagnan di 3.826 Ringgit Malaysia per ton. Kontrak pengiriman Januari 2023 meningkat 148 Ringgit Malaysia menjadi 3.850 Ringgit Malaysia per ton.

Sementara itu, kontrak pengiriman Februari 2023 terkerek 149 Ringgit Malaysia menjadi 3.886 Ringgit Malaysia per ton. Kontrak pengiriman Maret 2023 menguat 139 Ringgit Malaysia menjadi 3.903 Ringgit Malaysia per ton.

Serta, kontrak pengiriman April 2023 bertambah 137 Ringgit Malaysia menjadi 3.904 Ringgit Malaysia per ton. Kontrak pengiriman Mei 2023 terdongkrak 120 Ringgit Malaysia menjadi 3.898 Ringgit Malaysia per ton.

Research & Development ICDX Girta Yoga mengatakan, sepekan ke depan, harga CPO akan bergantung pada indikator pasar yang akan dirilis. Indikator yang dipantau antara lain rilisnya data ekspor CPO Malaysia untuk paruh pertama Desember, perkembangan situasi di Indonesia terkait kebijakan ekspor CPO, situasi di negara importir utama dan situasi di pasar minyak nabati.

$

Baca selengkapnya di :","14 Dec 22, 22:53"
4,$SSMS Lumayan buat beli chiki,"14 Dec 22, 09:46"
5,$SSMS hit target 1600 per 14 Desember 2022,"14 Dec 22, 09:23"
6,"$SSMS 09 Dec 22
Shareholder : Maybank Singapore
Type : Foreign
Bought : +480,719,773 (+5.05%)
Current : 480,719,773 (5.05%)
Previous : 0 (0%)","13 Dec 22, 10:16"
7,"$SSMS 09 Dec 22
Shareholder : Putra Borneo Agro Lestari
Type : Local
Sold : -125,238,773 (-1.31%)
Current : 560,992,313 (5.89%)
Previous : 686,231,086 (7.2%)","13 Dec 22, 10:16"
8,$CPIN $CMRY $SSMS $RALS $IHSG,"12 Dec 22, 20:44"
9,"Rekomendasi Saham BFIN, ESSA, SSMS dan TBIG oleh Kiwoom Sekuritas Indonesia | 12 Desember 2022
Kiwoom Sekuritas Indonesia 12 Desember 2022Rizky KhaerunnisaPT BFI Finance Indonesia Tbk (BFIN)Rekomendasi: Trading buyEntry buy: Rp 1.085 - Rp 1.105Target harga: Rp 1.125 - Rp 1.140Support: Rp 1.075 - Rp 1.085Cutloss: Rp https://bit.ly/3HwgDzJ Surya Esa Perkasa Tbk (ESSA)Rekomendasi: Trading buyEntry buy: Rp 1....","12 Dec 22, 08:56"
