,comments,date
0,"$ULTJ

Sesuai saran pak @bennix sang orakel dengan MEQI inpestingnya

hari ini saya melakukan inpestigasi kecil2an... hasilnya mengejutkan.

rata2 tetangga saya isi kantong sampah nya begini semua","15 Dec 22, 21:50"
1,"Sudah jelas ya susu $CMRY dan $ADRO unggul jauh

itu suara $ULTJ dianulir semua karena akun klonengan @maxlong @dwisomantana @UmarAlamri dan @dewakura pada voting berulang ulang.

Vox Populi Vox Dei","15 Dec 22, 21:42 · Edited on 15 Dec 22, 21:43"
2,"$ULTJ satu satunya saham yang holdernya tetap menyerah jangan semangat gan. Dan jadi bahan jokes.

Semoga semakin nyungsep","15 Dec 22, 21:38 · Edited on 15 Dec 22, 21:38"
3,Ayo di beli om susu $ULTJ di $GOTO,"15 Dec 22, 16:52"
4,"@bamzat 5% market share itu, 4%nya karyawannya $ULTJ, 1% sisanya peternak. Liat donk $CMRY","15 Dec 22, 16:51"
5,"POLL
Susu paling enak apa gan? Vox Populi Vox Dei $ULTJ $ICBP $CMRY $DMND $MYOR","15 Dec 22, 16:48"
6,@dwisomantana kirain gini gan $ULTJ vs $CMRY,"15 Dec 22, 16:41"
7,@dwisomantana katanya $ULTJ mau ekspansi bikin susu Ultra untuk makhluk 4 dimensi sehingga perlu pabrik dengan sumber tenaga anti matter biar susunya bisa berubah dari wujud 4 bahkan 5 dimensi anti gravitasi multiverse gan,"15 Dec 22, 16:25 · Edited on 15 Dec 22, 16:25"
8,ternyata ribet jg transfer saham $ULTJ OTW 690 $RALS $MAPA $TSPC $GOTO,"15 Dec 22, 15:17"
9,"@maxlong 11 dari 10 gen-z gen-y keren gaul sekarang pilih susu $CMRY

yang pilih $ULTJ cuman bombers di panti jompo, rumah sakit, dan asylum gan","15 Dec 22, 14:58"
10,"@SuntikVaksin om gw kan kerja di sektor kesehatan. Gw yakin 100% semua RS karyawan, atau pekerja PMI atau posyandu klinik dokter bidan semua beli $ULTJ.
Secara kualitas ULTJ sudah terbukti.
Tiap donor darah ultj
Antar anak posyandu ultj
Klinik dokter ultj
Snack gratisa karyawan Rumah sakit ultj.


Seharusnya di pubex dimasukin keunggulan itu. Biar kompetitor 20% susu sapi segarnya diem.","15 Dec 22, 14:28"
11,"Akhirnya emiten siput kesayangan $ULTJ tidak dibully lagi gan.

Cuman hanya 25 juta katanya","15 Dec 22, 14:17"
12,"$ULTJ
Siapa tau meninggalkan sidewaysnya
Next target 1550

Support 1350

Disclaimer on","15 Dec 22, 08:17"
13,"Analisa Saham ULTJ | 15 Desember 2022
Analisa Saham ULTJSaham ULTJ, secara teknikal membentuk pola menyerupai double bottom, posisi harga penutupan pada perdagangan tanggal 14 Desember 2022 berada pada neckline pola di harga 1450, dengan harga penutupan pada 1455 maka sebenarnya sudah bisa dikatakan bahwa pola ini telah terkonfirmasi.Na...","15 Dec 22, 07:26"
14,$ULTJ harga wajar 1600,"15 Dec 22, 00:22"
15,"$ULTJ fix tambah nyungsep liat chart kaya gini 🤯🤯

$CMRY $MYOR $ICBP $UNVR","14 Dec 22, 19:23"
16,Tambah nyungsep $ULTJ,"14 Dec 22, 18:06"
17,$ULTJ,"14 Dec 22, 17:38"
18,dari tanggal 1 Desember di borong terus nih $ULTJ,"14 Dec 22, 17:15"
19,"@bamzat tumben, tampilan PUBEXnya beda sekarang sudah diapresiasi. karena cuman itu prestasi $ULTJ walaupun isinya sama aja gitu2 doang🤣","14 Dec 22, 15:55"
20,@midnight0909 bukan $ULTJ mau ke 105 harus tutup gap up tahub 2010an,"14 Dec 22, 15:13"
21,"Poin Penting dari Buku Warren Buffett & The Interpretation of Financial Statement - Part Pertama

Menganalisa laporan keuangan perusahaan merupakan skill wajib yang harus dikuasai oleh setiap investor. Berinvestasi merupakan membeli perusahaan, maka kita harus mengetahui apa yang terjadi di dalam perusahaan dengan menganalisa laporan keuangannya. Sama hal saat membeli smartphone, kita melihat spesifikasinya mulai dari kinerja mesinnya, kamera, fitur dll yang sesuai dengan kebutuhan kita.

Belajar laporan keuangan tentu bisa dari mana saja, misalnya dari para stockbitor yang ada disini. Akun instagram yang memberikan edukasi investasi atau dari buku-buku yang banyak di pasaran. Jika para stockbitor ingin belajar dari buku maka “Warren Buffet & The Interpreatation of Financial Statement bisa menjadi pilihan. Buku ini ditulis oleh David Clarck dan Mary Buffett.

Buku ini sebenarnya sangat tebal maka yang bisa ditulis disini adalah poin penting yang bisa kita jadikan pembelajaran. Bagaimana cara berpikir Warren Buffett dalam berinvestasi yang langkahnya ditulis dalam buku tersebut.

Salah satu poin penting bagaimana Warren Buffett (WB) mencari perusahaan adalah Konsistensi dalam istilahnya “Consistency is King”.
Jika ditanya kepada WB berapa lama dia hold saham maka jawabannya adalah “the best holding period for investment is forever”. Kenapa bisa begitu? kurang lebih seperti ini gambarannya.

Jika kita memprediksi produk apa yang akan masih exist dalam 30 tahun yang akan datang?
Coca Cola
Snapchat

Jawabannya kemungkinan besar kita akan memilih Coca Cola. Kemudian kita cek lebih dalam apakah Coca Cola mampu tetap ada dan terus bertumbuh hingga 30 tahun yang akan datang dengan cara melihat konsistensinya.

Konsistensi dalam hal apa?

-Konsistensi dalam perolehan laba
-Konsisten dalam rasio hutangnya (rendah hutang)
-Konsisten dalam meningkatkan labanya
-Konsisten dalam belanja capex dan RnD yang rendah (efisien)
-Konsisten profitability (Revenue >> Cost)

WB menyukai perusahaan yang mampu melakukan konsistensi seperti itu dalam waktu minimal 10 tahun. Bahkan jika ada perusahaan yang mampu melakukan hal itu lebih dari 10 tahun lebih bagus.

Makanya CocaCola tetap dihold oleh WB hingga 30 tahun lebih sampai sekarang. Menurut WB CocaCola masih tetap konsisten dalam melakukan poin-poin yang ada diatas tadi. Walaupun update saat ini komposisi portfolio WB yang terbesar adalah Apple.

Gimana untuk kasus di Indonesia? Adakah perusahaan yang seperti CocaCola?
Silahkan cari sendiri yaa..

random tag:","14 Dec 22, 14:53 · Edited on 14 Dec 22, 16:37"
22,"Kebebasan itu memang mahal harganya.

Sejatinya kebebasan adalah dimana ketika kita tidak bergantung.

Menjalani hidup tanpa kekhawatiran karena kita bergantung pada finansial. Menggantungkan diri pada kehebatan dan kepintaran orang lain. Menggantungkan diri pada variable dari luar diri kita. Semakin kita bergantung pada variable dari luar dan tidak mengembangkan, melatih dan memaksimalkan potensi dalam diri kita pada akhirnya kesengsaraan dan ombang ambing kehidupan yang terjadi pada diri kita.

Tapi juga terlalu menggantungkan variable dalam diri kita juga bisa berbahaya, ketika ada kesulitan yang diri kita tidak mampu hadapi. Kegagalan dan jatuh atas usaha kita sendiri, membuat insecure dan desperate pada kapasitas kita sendiri, tidak pede, merasa tidak bisa dan selalu gagal, merasa diri tidak berharga.

Maka satu2nya tempat bergantung adalah Tuhan. Dengan menyandarkan diri pada Tuhan dan berpositif pada diri sendiri atas apa yg diberikanNya. Mengembangkan potensi yang telah dianugerahkan. Hidup untuk terus belajar. Saat itu kita akn terus bersyukur dan berkembang.

“If you are grateful, I will give you more”

QS 14:7","14 Dec 22, 12:10 · Edited on 14 Dec 22, 12:12"
23,"POLL
$ULTJ sesi 2 nanti?","14 Dec 22, 10:58"
24,"halo pak @Bennix. sukses selalu. BBCA menurutku terbaik.

$ELSA $GOTO $BOSS $ULTJ $ADES","14 Dec 22, 10:27 · Edited on 14 Dec 22, 10:27"
25,"@maxlong $IHSG hari ini digerakkan oleh $BULL sama $ULTJ om, karena transaksinya paling kecil, call me mister hohohoho","14 Dec 22, 09:42"
26,Penyampaian Materi Public Expose - Tahunan [ULTJ],"14 Dec 22, 09:20"
27,"Apa itu FP & FL??

Salam, quality investor 😎

Padahal nyangkut semua di $ULTJ 😂😂😂","13 Dec 22, 22:04"
28,"Jadi windress gaes. Bismillah

$BBCA $ADES $ULTJ $KMDS $SMSM","13 Dec 22, 20:54"
29,"Hrsnya, dr LK CMRY, yg diambil datanya segmen susunya aja. Gitu jg dr $ULTJ. Kalau gIni bisa misconcept untuk apple to apple...

ya tp gapapa, biar pada haka $CMRY, dump Sabana Fried Chicken","13 Dec 22, 10:14"
