date,comment,symbol
"16 Dec 22, 13:07","@SyamFadil pantes ya gk ada yang ngerekrut terus desperate akhirnya ya udahlah. 2400 lot * 9700 = 10 miliar? ngoahahaha ngakak $BOSS begini ternyata kualitas penjudi $BOSS mau dibandingkan sama kualitas investor $ITMG wkwkwk
Makasih emak, emon bersyukur jadi anak emak, doakan emon ya mak biar bisa kayak Hermanto Tanoko biar emon bisa tambah membahagiakan emak dan balas budi emak walau emon tau emon sampai kapanpun dengan duit berapapun gk bakaln bisa balas budi emak

Salam anak mami, anak papi $AVIA $CLEO $CAKK",CLEO
"16 Dec 22, 11:54",@RadenRama sepertinya sih kenalan bandarnya $CLEO🙃,CLEO
"16 Dec 22, 11:01","$CLEO belum ada tanda pembalikan arah, masih turun terus, otw nyungsep ke gocap😜",CLEO
"16 Dec 22, 10:35","$CLEO cukai plastik mulai berlaku di 2023, apakah berpengaruh ke profit CLEO?",CLEO
"16 Dec 22, 09:47","@igpys tuh kan bener, $CLEO otw balik ke 450",CLEO
"16 Dec 22, 09:38","$CLEO Bung reski mana??tebakanmu makin jadi nyata loh,,apa dikau kena suspend??kok ngak muncul2🙃",CLEO
"15 Dec 22, 12:44 · Edited on 15 Dec 22, 13:00","Fokus pada kesederhanaan
Keindahan dari filosofi Buffet adalah kesederhanaannya.
Buffet pernah berkata ''kerumitan dalam berinvestasi akan merugikan anda''

Keep smile😁

$ADRO $TPMA $MAPI $CLEO",CLEO
"15 Dec 22, 01:01",$CLEO masih sesuai skenario,CLEO
"14 Dec 22, 19:30","keserakahan akan membuat kamu lupa pada faktor psikis kamu. Sehingga kesabaran bisa saja hilang, dan pada akhirnya kita diberi pembelajaran oleh market kalau seseorang bisa saja menjadi bias ketika berinvestasi di pasar saham.

$TPMA $MAPI $ADRO $CLEO $AUTO",CLEO
"14 Dec 22, 10:54",$CLEO jangan mau dikibulin katanya mau ke 700 bla bla. Hoax itu. Buktinya kamu udah boncos berapa persen seminggu terakhir ini?? SADAR WOY,CLEO
"14 Dec 22, 09:17","$CLEO inget, kalian berinvestasi dengan uang kalian sendiri, jangan pernah dengerin apa kata orang. ANALISIS SENDIRI, GAUSAH MANJA.",CLEO
"14 Dec 22, 07:46",$CLEO masih berharap naik ke 700?? HALU. Bangun udah siang,CLEO
"14 Dec 22, 07:38","$CLEO mantul keras di support kuatnya. Rebound?? lilin palu , seokk?? 🙀",CLEO
"14 Dec 22, 07:27",$CLEO udah minus berapa persen? 15? 20? Atau 25?? 🤣 Kasihan ya kalo gamau cut loss,CLEO
"13 Dec 22, 14:35",$CLEO otw 350,CLEO
"13 Dec 22, 14:04",$CLEO : ayo turun lagi.....masih mahal.,CLEO
"13 Dec 22, 09:51",$CLEO masih ga percaya?,CLEO
"13 Dec 22, 09:03","Laba CLEO hanya naik 10%
Sedangkan valuasi sekarang PER 30an
Idealnya dengan laba seperti itu maka Valuasi CLEO hanya PER 15 atau kalau mau valuasi PER 30an maka growth minimal 45%
$CLEO PER 15 = 255 rupiah.",CLEO
"13 Dec 22, 09:02",$CLEO gue ingetin lagi. Jual sblm ARB,CLEO
"13 Dec 22, 08:54",$CLEO gue udah sampein berkali kali. Jual sebelum sangkut. Jual sebelum boncos. Masih aja ga percaya. Konyol!!,CLEO
"13 Dec 22, 08:37","Auto Rejection Bawah: 12 Dec 2022 (27 saham)
$CLEO -6,96%
$GULA -6,92%
$MFMI -6,87%
$ZATA -6,87%
$INDX -6,86%
Historikal ARA & ARB: https://bit.ly/3LkWqN1",CLEO
"13 Dec 22, 07:31","Prospek oke namun valuasi kemahalan.
Growth $CLEO tidak sebanding dengan valuasinya yang mahal.
Untuk menjustifikasi valuasinya yang sekarang, growth CLEO harus 3x lebih besar dari yang sekarang.",CLEO
"13 Dec 22, 07:28",@skydrugz27 om pandangannya/prospek tentang saham $CLEO dong,CLEO
"13 Dec 22, 07:11",@Reski jos biar apestor $CLEO semakin religius,CLEO
"13 Dec 22, 07:10",$CLEO gue udah memprediksi cleo menuju 350 sejak bulan lalu,CLEO
"13 Dec 22, 06:24",$CLEO perusahaan overvalue,CLEO
"13 Dec 22, 06:11",keras kalo minum Cleo itu lebih seger yang lain mah malah kerasa hambar $CLEO,CLEO
"12 Dec 22, 20:47","Hari ini cicil $ACES tipis-tipis.
Masuk $CAKK dulu dikit, sambil liat pergerakannya setelah tender offer berakhir.

Disc : bukan ajakan beli dan jual

Tag saham pak Tanoko $CLEO $DEPO $AVIA",CLEO
"12 Dec 22, 20:29","$CLEO om tanoko tau ga ya ada meme dan stigma begini bagi konsumen yang pertama kali coba cleo, terutama pemuda-pemudi. Bahkan mereka bilang cleo itu pait dan sepet, tapi yang ga banyak tahu mungkin itu rasa pertama kali aja, kalau udah sering katanya bakal bisa bedain rasa air minum merk lain dan berujung ke cleo lebih seger dan sehat daripada yang lain. Anyway, air mineral yang brand alfamart sendiri, yang dijual paling murah di Alfamart, itu produksi cleo juga loh. Sama kemarin waktu berkunjung di cafe yang menengah ke atas di daerahku, air mineralnya pakai pure water yg botolan ijo yg ljmayan premium dari cleo.",CLEO
"12 Dec 22, 17:27",$CLEO yang beli 645 udah sangkut. yang beli 580 udah sangkut. yang beli skrg 535 siap2 sangkut,CLEO
"12 Dec 22, 17:10",$CLEO ada bullish divergen,CLEO
"12 Dec 22, 17:03",$CLEO besok mantul yah pa Boss,CLEO
"12 Dec 22, 17:01",$CLEO betapa jahatnya stockbit blokir gue. Gue padahal baik kasih tau ritel kalau cleo menuju 350. Follow gue!!,CLEO
"12 Dec 22, 15:08","@10405 waduh, ini pompom dua emiten sekaligus $AUTO & $CLEO 🤣🤣",CLEO
