date,comment,symbol
"16 Dec 22, 13:02","SAHAM-SAHAM MENARIK SESI 1 16 DESEMBER

$BEBS (Stock Split + Bullish Pattern)
✓ BEBS yg mau Stock Split kasih sinyal Bullish Pennant mini dengan jebol neckline yg juga tipis2. Pesta kecil sebelum Stock Split?

$TRGU (Bottom Fishing)
✓ Akhirnya sampai bottom juga setelah lama sideways di 230 (terlalu banyak kuning 230 di RTI, mirip2 bottoming CARS yg sedang berlangsung saat ini, hehe). Apakah ini saatnya bangkit? Who knows.. kalau kamu berhati-hati, mending nunggu Brokesum-nya dulu hari ini. Buat saya pribadi, nanti kalau Brokesum bagus, bakal saya tingkatin levelnya jadi Watchlist buat Senin.
✓ Cons: Track Record bottom dulu nggak terlalu nanjak.

(Bottom Fishing)
✓ Habitatnya sih 190-200an ya, tapi seingat saya 170-180 masih banyak nyangkuters (gara2 merah berjilid). Rawan jemur kalau nyampe sana.

(Bottom Fishing)
✓ Menarik diamati karena selain Bottom, ada juga potensi jebol neckline Falling Wedge Pattern, hehe. Early signal buat yg demen Bullish Pattern ini 😇

(Mirror Saham Lainnya)
✓ Kayaknya saham ini mirroring SSMS.. SSMS lagi enak buat Swing, & CBUT ikut naik.. apakah keuntungan di CBUT buat katrol SSMS? Coba dianalisis pakai Bandarmology.. khususnya soal saham mirroring induk-anak/perusahaan satu grup. Bagi saya, ini masih sebatas hipotesis/dugaan saja 😇

* ini kebetulan senggang jadi bisa ngonten tengah market, karena ada waktu sebelum & setelah Jum'atan. Moga konten tengah market begini sering2 tersedia ya (belum bisa jadi Full Time Trade soalnya), hehe.",TRGU
"14 Dec 22, 23:27",sy udah nunggu 5 bulan ga terbang2 $TRGU😷😷,TRGU
"14 Dec 22, 14:51",$TRGU besok terbang 🚀,TRGU
"12 Dec 22, 08:21","$TRGU
Plan lengkap ada di channel telegram, Klik saja linknya di bio ya. Disana ada menu ODT, ARB hunter, swing dan live trade. Free tidak ada embel"" apapun😚😚",TRGU
"11 Dec 22, 22:16","$TRGU

Baru IPO bbrp bulan lalu. Secara teknikal, TRGU masih downtrend. Ada support di 220-226.

Menurut kami, TRGU belum cocok untuk dikoleksi karena masih dalam posisi downtrend. Harga pun hanya bergerak dikisaran 226-230. Rangenya terlalu sempit.

Lebih baik wait n see dulu.",TRGU
"11 Dec 22, 01:13",$TRGU,TRGU
"6 Dec 22, 15:00",$TRGU,TRGU
"6 Dec 22, 15:00",$TRGU siap2x to moon,TRGU
"6 Dec 22, 14:53",saat $IHSG turun $TRGU bakalan up,TRGU
"5 Dec 22, 10:40",Laporan Bulanan Registrasi Pemegang Efek [TRGU],TRGU
"1 Dec 22, 09:42","dimana pangeran(bandar)nya?, putri $TRGU sudah lama tertidur. para kurcaci(ritel) termenung meratapi nasib putri $TRGU.",TRGU
"30 Nov 22, 11:27","$TRGU saham tidur , akankah ke harga 50 ?",TRGU
"30 Nov 22, 10:18","News Update
👉 November Terakhir 2022, Wall Street melemah 3 hari beruntun.
👉 Harga minyak dunia kembali naik usai Lockdown China mulai diperlonggar.
👉 Jokowi akan melakukan banding atas gugatan WTO tentang kebijakan larangan ekspor nikel .
👉 $BJBR meraih Banking Award 2022 dari Lembaga Penjamin Simpanan.
👉 Ekspansi bisnis, $TRGU serius kembangkan bisnis pengolahan pakan ternak.
👉 $PZZA catatkan Rugi bersih Rp 35,499M pada kuartal III 2022, memburuk dibanding tahun lalu yang catatkan laba bersih Rp 13,309M
👉 menderita Rugi bersih Rp 157,55M pada kuartal III 2022, membengkak 53,3% secara yoy.
👉 Miranda Goeltom di copot dari kursi komisaris",TRGU
"29 Nov 22, 16:13","setelah kena prank di $TRGU kali ini coba strategi baru predict target emiten
$MPOW man power
©ari hadiah dari analisa TA sederhana 🦸🤑🍀

-Quote-
""biar sedikit yang penting profit"" 💰
👋 persen cukup 🌟",TRGU
"29 Nov 22, 16:10","Cerestar Indonesia (TRGU) Ekspansi Bisnis ke Bahan Pakan Ternak
JAKARTA, PT Cerestar Indonesia Tbk (TRGU) akan merambah bisnis perdagangan bahan baku pakan ternak. Emiten produsen tepung olahan gandum yang merupakan bagian dari Cerestar Group ini mengakui serius mendiversifikasi usaha dengan mengembangkan perdagangan bahan pakan ternak melalui anak perusahaan PT...",TRGU
"28 Nov 22, 19:35","tahun 2000-2005

banyak saham perusahaan PREMIUM baru IPO

jadi wajar pada BAGGER di 2010-2022 an

tahun 2019-2021

banyak saham perusahaan SAMPAH baru IPO

jadi wajar pada BEGGAR di 2032 an
jgn kan sampe 2032,

di 2023 jg sdh BEGGAR

random tags



mau yg pasti-pasti aja?

ya aja😉",TRGU
"28 Nov 22, 12:06","$GULA $ASLC barang lama gua terbang. memang begitulah saham
hal ini tak perlu di sesali, namun sering di sesali para newby. saham klo banyak yg hold maka akan amat sulit untuk di gorengen. terlebih lagi 1 orang numpang 300 jt dan di hold sangat amat lama dan yg terjadi saham gk akan kemana mana hingga kamu cut los dan jual di harga murah. ada bandar yg no problem di tumpang i 200 jt - 50jt ada yang di tumpang i 20 jt langsung di guyur. hal ini banyak alasanya
1 Bandar Itu Menghitung Transaksi harian ( market cap ) rata ratanya tu berapa, apabila ada Ritel tiba tiba masuk dengan dana besar dalam 1 hari di atas rata rata yang mana selama mereka mantau sahamnya gk ada dana sebesar itu ya udah. akan di hajar dan di tekan hingga kamu cut los ketika kamu keluar maka beban dia ringan
2 saham yang di pegang masyarkat.katakan lah apabila masyarakat memegang 70% lalu bandar 30%, mana kuat bandar goreng dengan kendali saham 30% .yang namanya bandar itu pengendali dan yg namanya pengedali itu harus bisa mengotrol penuh pada kendaranya di atas 60% .masak iya anak kecil naik motor dengan berat 200kg sedangkan beban anak 50kg ya berat. dan yg ada malah dia kecelakaan. bandar jg mau untung dong..... logika dong

jadi poinya, semakin besar dana kalian. kalian harus waspada dan harus cerdas, karena itu lebih baik saya kasih saran di semua saham itu masuk 5.000.000 untuk scalping itu cukup",TRGU
"26 Nov 22, 22:31",$TRGU☕️,TRGU
"26 Nov 22, 14:23 · Edited on 26 Nov 22, 17:12","RmS09cXz , liat aja di broksum, LH aja beli banyak $ZATA di 230, kemarin buang tuh di 215, hadeh baru beli juga cutloss, perusahaan dinilai 5-6kali dari harganya eps cuma 1 koma, barangnya juga ga bisa dikonsumsi habis tiap hari kan, spt Air Galon Aqua $PDPP ama terigu buat pisang goreng $TRGU, newbie sekarang lagi fomo emiten yg pbv 0.25 , labanya naik terus puluhan kali dari $ZATA, jumlah sahamnya ga sebanyak $ZATA, harga murmer 72 an 😇 kl aset emiten ini dijual, juga masi bisa beroperasi kavlingnya bnyk, kl nyangkutpun valuasi masih murah, lagian ada IPO baru juga tuh, akan dimodalin tebel dari Jepang, developer+ fintech☺️$VTNY",TRGU
"24 Nov 22, 14:49","@idayu selama sebulan ini ku lihat gak ada bandar yg akumulasi, MG net sell di harga 230 😅$TRGU",TRGU
"23 Nov 22, 15:54",$TRGU Lama amat Sidewaysnya 😅,TRGU
"23 Nov 22, 11:42 · Edited on 23 Nov 22, 11:49","https://stockbit.com/post/10144395
masih inget banyak ipo hunter suka banget kalo UW-nya KI. OMED yang KI cuma 10% jatahnya ipo hunter pesan sampe antriannya 40k😂

https://stockbit.com/post/10146449
sama juga kaya ini, MG dlu era pertama ngawal IPO TRGU heboh banget. Apalagi habis ARA 1-2x si john hens yang katanya ""bandar"" TRGU pdhl dia sendiri ga pernah ngomong dipuji-puji sama ipo hunter. Sekarang juga PDPP ipo hunter banyak beli karena katanya ada bos besar inisial ""a"" di dalemnya + MG yang pasti bakalan bagger. Realitanya habis ARA 1x dibanting sampe arb 2-3x baru habis itu ipo hunter boleh keluar

Banyak ipo hunter atau yang ngakunya ""analis ipo"" liat UW sebagai patokan ini emiten layak dibeli atau ga. Memang ga salah, cuma dari 2 contoh tadi harusnya bisa disimpulkan UW bukan jaminan emiten itu bagus",TRGU
"21 Nov 22, 19:38","$TRGU bisa buat bikin kue 🥨
©ari hadiah dari analisa TA sederhana 🙄🤑🍀

-Quote-
""biar sedikit yang penting profit"" 💰",TRGU
"21 Nov 22, 19:34","Saham PROBUY > LOSSELL pilihan untuk seminggu kedepan, silahkan analisa kembali bukan ajakan Jual/Beli:
$AMAR
$TRGU


*Discount On Laimer 🐒

- volume bagus belum tentu naek, tapi sahamnya pasti bergerak ke kanan, saya berani jamin 😎👍 -
ketika sudah sentuh diatas 3% akan diupdate",TRGU
"21 Nov 22, 15:43",$TRGU susah ya mau ke 250,TRGU
"20 Nov 22, 23:45",$TRGU ok sikat,TRGU
"19 Nov 22, 20:12 · Edited on 19 Nov 22, 20:12","tahun 2017 $MYRX masih LQ 45 lho.
skrg sdh hampir DELISTING. + $RIMO

dulu lagi ada KARK yg sdh gugur.

itulah SAHAM, ada musimnya.

kemudian 2022 musim $TRGU 😉

dan berlalu setelah sentuh 500

terkapar di 230...

mau aman?
hanya saham yg tidak pernah turun di
nabung selot-selot sampai 1000 lot
minimal cukup lah utk hari uzur tanpa ganggu anak cucu secara ekonomi😉

drpd naruh uang di asuransi ya-kan?",TRGU
"19 Nov 22, 13:43","@BambangKresno $PDPPga akan naik dlm waktu dekat, takutnya kalau masuk malah disangkutin, saham $PDPP sptnya akan spt $TRGU Om, akan sideways naiknya lama",TRGU
"19 Nov 22, 13:37","@ARCASIMA $PDPP dalam waktu dekat sepertinya lama sideways spt $TRGU, tp investornya ga masalah, kl cuan kalian di kasi bang MoGe di $ZATA mau masuk ke $PDPP merasa bisa cuan double , sptnya salah bang MoGe ga akan naikkan $PDPP yg membuat scalperan masuk dan keluar cuan, harganya malah ARB berturut turut dan investor lamanya yg nyangkut semakin ga bisa keluar, sptnya fix, $PDPP mungkin ga akan ARB tapi ga akan naik, saham investor ini naiknya lama, spt$TRGU tapi pasti naik, lebih baik scalpingan di $BBYB coba cek broksumnya 3 hari ini",TRGU
"18 Nov 22, 18:24","$TRGU Natal, Tahun Baru, Lebaran, Hajatan, permintaan terigu akan terus bertumbuh pesat, apalagi kalau sdh mempunyai customer tetap, setiap hari orang mengkonsumsinya, dan besoknya hrs beli lagi kl mau pakai/ makan",TRGU
"17 Nov 22, 17:01",$TRGU barang ny Moge masi banyak kah? top seller mulu perasaan,TRGU
"16 Nov 22, 10:21","$TRGU gosok terus ndar sampe alus, klo udh rapi Gass ke 400",TRGU
"16 Nov 22, 01:38 · Edited on 16 Nov 22, 08:45","Di dalam trading, kita perlu berpikir dalam konsep musim yang terus berganti. Ada kalanya musim. menanam, ada kalanya musim menuai, dan ada kalanya kita hanya menunggu sampai musimnya berubah. Bahkan terkadang badaipun muncul dan hal terbaik yang kita bisa lakukan adalah menunggu dengan sabar.

Konsep ini sama persis dengan dunia trading, ada kalanya peluang profit banyak, mayoritas saham uptrend, waktunya trading dengan agresif dan beberapa bahkan menggunakan margin. Namun ada kalanya market bergerak santai dan pelan, tidak mengarah kemanapun hanya naik dan turun dalam range yang kurang lebih sama. Seorang trader profesional bersikap seperti air yang mengalir, beradaptasi terhadap musim dan kondisi market, dan terkadang hal terbaik yang bisa dilakukan ya do nothing

Tidak memaksakan trading, tidak memaksakan mencari profit, tidak memaksakan menanam mangga di musim rambutan.

""Dalam setiap penyakit ada banyak hari dimana dokter tidak bisa berbuat apa-apa selain menunggu""

Jadi, apakah kalian mampu menunggu dengan sabar?

Treding Itu Negative Sum Game. Ingat Baik"" hal Itu. Scalper Lama pasti tau Alasanya....",TRGU
"14 Nov 22, 22:39","@Denaepbroiler Muke Gile 😂
$PDPP $ZATA $TRGU $BUMI",TRGU
"14 Nov 22, 20:48 · Edited on 14 Nov 22, 20:49","makanya jgn berharap kalo $PDPP bisa kaya $TRGU $COAL, namanya juga pasar modal cuan ya bungkuss , heran pada nyalahin UW nya 😆",TRGU
"13 Nov 22, 16:01","@nathanaelsugiarto @ekojulia7777 $PDPP kalau naik dipuja-puja, kalau diturun dihinaa 🤣 mungkin angan""nya ritel $PDPP bisa bagger seperti $TRGU & $COAL 🤣🤣",TRGU
"13 Nov 22, 04:52",$TRGU ngeprank janji tebar deviden,TRGU
