date,comment,symbol,label_1,label_2
"13 Dec 22, 16:40",Penyampaian Materi Public Expose - Tahunan [STTP],STTP,0,0
"12 Dec 22, 15:10",Laporan Bulanan Registrasi Pemegang Efek [STTP],STTP,0,0
"4 Dec 22, 12:46","$ADES Q3 review


Tag konsumer:
$STTP $ICBP $CLEO $MYOR",STTP,0,1
"2 Dec 22, 16:40",Rencana Penyelenggaraan Public Expose - Tahunan [STTP],STTP,0,0
"25 Nov 22, 17:15",Tag $ICBP $STTP $ENAK $UNVR $MAPB,STTP,0,1
"18 Nov 22, 09:20",Penunjukan/Perubahan Kantor Akuntan Publik dan/atau Akuntan Publik [STTP],STTP,0,0
"8 Nov 22, 15:40",Laporan Bulanan Registrasi Pemegang Efek [STTP],STTP,0,0
"4 Nov 22, 18:06","$BSSR melihat pergerakannya,,yg gitu2 aja apakah masih ada harapan?? kita nunggu LK Q3 nya
agak sikit hopeless sih...
menjelang resesi ekonimi fokus ke Consumer good saja dl ahh $ICBP $MYOR $UNVR $STTP",STTP,0,1
"31 Oct 22, 12:02",@bamzat maksudnya biar jadi $STTP $WINS $ARTO canda ya om 😄🙏,STTP,0,1
"31 Oct 22, 12:00","@Paquito sama aja gan beli $STTP nanti dikritik ahli dan anal-is saham kolor ijo kayak di $ULTJ , cash rich tapi gak melakukan diversifikasi gan.",STTP,0,0
"31 Oct 22, 11:58",@bamzat sekalian beli $STTP #maksa,STTP,2,0
"31 Oct 22, 05:27","KINERJA EMITEN 9M22

$SOTS
PENDAPATAN Rp13.1 miliar (9M22) vs. Rp7.9 miliar (9M21)
LABA BERSIH* -Rp14.3 miliar (9M22) vs. -Rp11.5 miliar (9M21)

$TLKM
PENDAPATAN Rp108,874.0 miliar (9M22) vs. Rp106,043.0 miliar (9M21)
LABA BERSIH* Rp16,581.0 miliar (9M22) vs. Rp18,872.0 miliar (9M21)


PENDAPATAN Rp497.6 miliar (9M22) vs. Rp318.0 miliar (9M21)
LABA BERSIH* Rp62.5 miliar (9M22) vs. Rp7.0 miliar (9M21)


PENDAPATAN Rp3,575.3 miliar (9M22) vs. Rp3,045.1 miliar (9M21)
LABA BERSIH* Rp419.3 miliar (9M22) vs. Rp433.3 miliar (9M21)


PENDAPATAN US$8.8 juta (9M22) vs. US$7.3 juta (9M21)
LABA BERSIH* -US$2.7 juta (9M22) vs. -US$3.5 juta (9M21)

*Laba bersih yang diatribusikan kepada pemilik entitas induk
Sumber: Emiten,",STTP,0,1
"30 Oct 22, 08:26",$STTP,STTP,0,1
"30 Oct 22, 08:13","Berikut rangkuman untuk update laporan keuangan Q3 Tahun 2022 yang keluar pada tanggal
29 OKTOBER 2022

- Data dalam milyaran rupiah
- Sort berdasarkan ROE tertinggi
- Data sudah update untuk Laporan Keuangan Q3 adalah 168 Emiten dari 810 Emiten

Cara untuk mendapatkan data lebih lengkap silahkan chat.",STTP,0,1
"29 Oct 22, 12:10",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [STTP],STTP,0,0
"18 Oct 22, 16:41","Auto Rejection Bawah: 18 Oct 2022 (32 saham)
$STTP -6,93%
$IFSH -6,93%
$WICO -6,88%
$PTBA -6,82%
$RAFI -6,82%
Historikal ARA & ARB: https://cutt.ly/YBLX8pB",STTP,0,0
"18 Oct 22, 09:23 · Edited on 18 Oct 22, 09:24","$IHSG Negara Konoha😁
$FILM $ASRM $UFOE $STTP
#ads",STTP,0,1
"14 Oct 22, 19:05","5 Saham Kebal Resesi?

Berikut merupakan review sekilas mengenai 5 saham yang bergerak di sektor consumer goods yang menurut analisa kami masih undervalue.

Kenapa sektor consumer goods? karena sektor ini dikenal sebagai sektor defensif disaat resesi.

Selengkapnya silahkan tonton video terbaru kami, klik linknya di bawah👇",STTP,0,1
"12 Oct 22, 23:25","@d2pmn ga ada yg tau masa depan, ga bisa dibilang the next ini itu. cuma saya yakin sama efisiensi dan pengembangan yg dilakukan management. saya jatuh cinta ketika ngobrol setelah rups dan pubx hahaha. semoga bisa jadi the next $MYOR $STTP $ADES #ehhh",STTP,0,1
"12 Oct 22, 19:56","Rupiah Melemah, Siantar Top (STTP) Akan Lakukan Penyesuaian Harga Jual Produk
Emiten produsen makanan ringan Mie Gemez dan minuman ringan, PT Siantar Top Tbk (STTP) turut menanggapi adanya pelemahan rupiah sejak tadi pagi. Nilai tukar rupiah l pada Rabu (12/10) siang pukul 12.35 WIB dengan kurs rupiah spot melemah 0,14% ke Rp 15.379 per dolar Amerika Serikat (AS). Menanggapi...",STTP,1,0
"7 Oct 22, 09:42","$STTP
ini saham private atau terbuka ya?
perasaan kgk ada data apa-apa.
shareholders kgk ada.
jangan jangan saham sahaman ini.",STTP,0,0
